2017-01-06 11:49:25,229 [Worker-3] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 4
2017-01-06 11:49:46,445 [Worker-3] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 4
2017-01-06 11:50:26,607 [Finalizer] WARN  c.ning.http.client.AsyncHttpClient - AsyncHttpClient.close() hasn't been invoked, which may produce file descriptor leaks
2017-01-06 11:50:26,608 [Secondary finalizer] WARN  c.ning.http.client.AsyncHttpClient - AsyncHttpClient.close() hasn't been invoked, which may produce file descriptor leaks
2017-01-06 11:53:17,122 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.acett.tig:dataprocessor:0.0.1-SNAPSHOT @ D:\workspaces\tigs\code\dataprocessor\pom.xml.
2017-01-06 11:53:19,926 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dataprocessor/src/main/java
2017-01-06 11:53:19,929 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /dataprocessor/src/main/resources
2017-01-06 11:53:19,930 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.acett.tig:dataprocessor:0.0.1-SNAPSHOT @ D:\workspaces\tigs\code\dataprocessor\pom.xml.
2017-01-06 11:53:19,931 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dataprocessor/src/test/java
2017-01-06 11:53:19,931 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /dataprocessor/src/test/resources
2017-01-06 11:53:23,099 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.acett.tig:dataprocessor:0.0.1-SNAPSHOT @ D:\workspaces\tigs\code\dataprocessor\pom.xml.
2017-01-06 11:53:23,273 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-06 11:53:23,281 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-06 11:53:23,286 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-06 11:53:23,288 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
